Companynumber,Companyname,Latitude,Longitude,Sector,cluster,Region
07118522,Portfolio 2008,53.465782,-2.631405,Advanced Manufacturing,27,Greater Manchester CA
07123465,Crawley Down Group,51.132259,0.254632,Advanced Manufacturing,0,Kent
07188398,Dynamic Metals,52.182903,-0.413528,Advanced Manufacturing,0,South East Midlands
07220280,Autocraft Solutions Group,52.952627,-0.611885,Advanced Manufacturing,0,Greater Lincolnshire
07252218,Keto Plastics,52.510939,-1.992347,Advanced Manufacturing,25,West Midlands CA
07263566,Kingston Barnes,51.449736,-2.595125,Advanced Manufacturing,19,West of England CA
07267226,Laptop Outlet,51.591519,0.041929,Advanced Manufacturing,14,London
07286694,Tees Components,54.554975,-0.956526,Advanced Manufacturing,0,Tees Valley CA
07289761,Scanman UK,54.580187,-1.255072,Advanced Manufacturing,0,Tees Valley CA
07293648,Createc,54.665429,-3.369776,Advanced Manufacturing,0,Cumbria
07306136,RVS,51.707417,-2.386831,Advanced Manufacturing,0,Gloucestershire
07327018,JDD Furniture Ltd,52.485584,-2.140421,Advanced Manufacturing,25,West Midlands CA
07345928,CSE Industrial Electrical Distributors,51.582713,-0.691836,Advanced Manufacturing,0,Buckinghamshire
07382422,Pulse-Eight,50.740599,-1.914737,Advanced Manufacturing,22,Dorset
07423954,Pragmatic,52.235423,0.138519,Advanced Manufacturing,21,Cambridgeshire and Peterborough
07448931,Force24,53.79052,-1.539281,Advanced Manufacturing,10,West Yorkshire CA
07474948,Matillion,53.481442,-2.256004,Advanced Manufacturing,27,Greater Manchester CA
07476627,Panel UK,53.747774,-1.613398,Advanced Manufacturing,10,West Yorkshire CA
07486001,Aquapak,52.4009,-1.995568,Advanced Manufacturing,25,West Midlands CA
07492681,Ascot Pharma,51.658053,-0.256866,Advanced Manufacturing,14,London
07524607,Southwest Fixings Limited,50.865024,-3.943206,Advanced Manufacturing,0,Devon
07526421,Ezi-Dock Systems,53.28224,-1.293486,Advanced Manufacturing,26,South Yorkshire CA
07550270,D2 Global Ltd,53.479439,-2.232772,Advanced Manufacturing,27,Greater Manchester CA
07555858,First Light Fusion,51.80421,-1.299644,Advanced Manufacturing,29,Oxfordshire
07559791,Tripak,53.192398,-2.485175,Advanced Manufacturing,0,Cheshire and Warrington
07563023,Radical Sportscars Limited,52.594368,-0.26755,Advanced Manufacturing,0,Cambridgeshire and Peterborough
07571422,McBraida,51.456223,-2.462754,Advanced Manufacturing,19,West of England CA
07586054,Futura Design,52.376597,-1.478798,Advanced Manufacturing,25,West Midlands CA
07592365,Taylor & Hart,51.513305,-0.126953,Advanced Manufacturing,14,London
07597364,Tamar Fresh,50.414376,-4.239214,Advanced Manufacturing,0,Cornwall and Isles of Scilly
07606553,EPD Insulation Group,52.535886,-0.314616,Advanced Manufacturing,0,Cambridgeshire and Peterborough
07621889,Degould,50.714303,-3.471899,Advanced Manufacturing,0,Devon
07645513,Slipstream Design,53.8353,-1.776778,Advanced Manufacturing,10,West Yorkshire CA
07678531,Formed,53.231985,-0.504229,Advanced Manufacturing,0,Greater Lincolnshire
07705420,Urban Foresight,54.97306,-1.625403,Advanced Manufacturing,18,North East CA
07713285,Lloyd Baker,51.737259,-0.213921,Advanced Manufacturing,14,London
07723683,B & A Quilting,53.532787,-2.180262,Advanced Manufacturing,27,Greater Manchester CA
07747704,GB Tyres (UK),52.535243,-2.07334,Advanced Manufacturing,25,West Midlands CA
07750099,ABT,51.916453,-2.574293,Advanced Manufacturing,0,The Marches
07759655,Field International,50.740063,-1.978032,Advanced Manufacturing,22,Dorset
07775284,Urban Design & Developments,53.171984,-1.417297,Advanced Manufacturing,0,East Midlands CCA
07797243,TecQuipment,52.899414,-1.266586,Advanced Manufacturing,24,East Midlands CCA
07800816,Laser Wire Solutions,51.564843,-3.282486,Advanced Manufacturing,0,Wales
07814678,Don Construction Products,52.071146,0.435504,Advanced Manufacturing,0,Essex
07830600,GAK Enterprises,52.059631,-0.763455,Advanced Manufacturing,0,South East Midlands
07835801,K J Ryan,52.456608,-1.486907,Advanced Manufacturing,25,West Midlands CA
07836562,SumUp,51.513914,-0.139279,Advanced Manufacturing,14,London
07838744,Elephant Coffee,53.295405,-3.083223,Advanced Manufacturing,0,Cheshire and Warrington
07839003,Made2Measure,53.345685,0.255086,Advanced Manufacturing,0,Greater Lincolnshire
07848135,Adams and Green Limited,53.719721,-0.457885,Advanced Manufacturing,0,Hull and East Yorkshire
07861358,Print Clever,51.570811,-1.804881,Advanced Manufacturing,0,Swindon and Wiltshire
07869227,Ledwood,51.69526,-4.924144,Advanced Manufacturing,0,Wales
07882763,Enduramaxx,52.720231,-0.333434,Advanced Manufacturing,0,Greater Lincolnshire
07897780,Erodex Graphite Systems Limited,52.457379,-2.099949,Advanced Manufacturing,25,West Midlands CA
07904022,2M Holdings,53.307499,-2.700533,Advanced Manufacturing,0,Liverpool City Region CA
07907482,RVT Group,51.298021,0.489679,Advanced Manufacturing,0,Kent
07939436,Ellis Patents,54.156954,-0.693802,Advanced Manufacturing,0,York and North Yorkshire CA
07953412,Sheveling Wine Estate,53.554541,-1.809394,Advanced Manufacturing,0,West Yorkshire CA
07972299,Q-Bot,51.480402,-0.110227,Advanced Manufacturing,14,London
07972511,Holt JCB,51.506239,-2.693394,Advanced Manufacturing,19,West of England CA
07993456,Pelham Matrix,50.885564,-1.047278,Advanced Manufacturing,23,Solent
07996139,Mega Marble,51.898134,-0.51796,Advanced Manufacturing,0,South East Midlands
08012006,Tharsus,55.13281,-1.544628,Advanced Manufacturing,0,North East CA
08020542,Supacat,50.863656,-3.226102,Advanced Manufacturing,0,Devon
08064713,Crediton Milling Company,50.78007,-3.646298,Advanced Manufacturing,0,Devon
08086515,Restrap,53.80209,-1.568822,Advanced Manufacturing,10,West Yorkshire CA
08086606,Zuno Opco Limited,53.796838,-1.426444,Advanced Manufacturing,10,West Yorkshire CA
08093065,Furncare,52.428736,0.741693,Advanced Manufacturing,0,New Anglia
